i,x,A,P,rho,u,p,E,a,M,k
18,1.8000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3177133870758408e-01,3.3664478888176529e+02,3.3016208615323663e+05,2.8788116068752338e+06,8.7032418539441323e+02,3.8680389966320966e-01,1.2200000000000000e+00
19,1.9000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3177926881970361e-01,3.3665364483366545e+02,3.3016573910196108e+05,2.8788037272750488e+06,8.7032251068418009e+02,3.8681481945010759e-01,1.2200000000000000e+00
20,2.0000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3178617065372968e-01,3.3666103165350722e+02,3.3016864867162536e+05,2.8787944563747183e+06,8.7032069769112752e+02,3.8682411270539097e-01,1.2200000000000000e+00
21,2.1000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3178661302234076e-01,3.3666498521020679e+02,3.3016993840980233e+05,2.8788044638544903e+06,8.7032203556635795e+02,3.8682806070872794e-01,1.2200000000000000e+00
22,2.2000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3177900019031632e-01,3.3666803134793912e+02,3.3017086046302126e+05,2.8788537718013590e+06,8.7032948047987600e+02,3.8682825171256929e-01,1.2200000000000000e+00
23,2.3000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3176541438849367e-01,3.3667206468769268e+02,3.3017240814831416e+05,2.8789404615552421e+06,8.7034263808036826e+02,3.8682703794709877e-01,1.2200000000000000e+00
24,2.4000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3175292776810068e-01,3.3668031739967887e+02,3.3017614742531738e+05,2.8790414760515774e+06,8.7035778516903940e+02,3.8682978786050543e-01,1.2200000000000000e+00
25,2.5000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3174633025660301e-01,3.3669099010754127e+02,3.3018130112388625e+05,2.8791241418506219e+06,8.7036997722251260e+02,3.8683663145410313e-01,1.2200000000000000e+00
26,2.6000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3174390796244075e-01,3.3669775790294631e+02,3.3018491477986873e+05,2.8791701680882527e+06,8.7037672251453898e+02,3.8684140923509364e-01,1.2200000000000000e+00
27,2.7000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3173869337732060e-01,3.3669574268022876e+02,3.3018465999976220e+05,2.8791949908352164e+06,8.7038065444661595e+02,3.8683734634968236e-01,1.2200000000000000e+00
28,2.8000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3171763307368836e-01,3.3667662084924990e+02,3.3017667118557007e+05,2.8792320536657581e+06,8.7038736162293685e+02,3.8681239605947149e-01,1.2200000000000000e+00
29,2.9000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3167920591965712e-01,3.3664882873450040e+02,3.3016481058831722e+05,2.8793252984516355e+06,8.7040318098948114e+02,3.8677343567586159e-01,1.2200000000000000e+00
