i,x,A,P,rho,u,p,E,a,M,k
83,3.5452261306532660e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5099299035395434e-01,7.2256846641562902e+02,1.4594686489342101e+05,2.9041337396993958e+06,8.4226063627441522e+02,8.5789176805386225e-01,1.2200000000000000e+00
84,3.5879396984924621e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5084648438536850e-01,7.2308296407248054e+02,1.4583995719809053e+05,2.9041120966958846e+06,8.4219793076551900e+02,8.5856654078362737e-01,1.2200000000000000e+00
85,3.6306532663316582e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5070026603710843e-01,7.2359677804101466e+02,1.4573326521742201e+05,2.9040906434424049e+06,8.4213528747871840e+02,8.5924053866380778e-01,1.2200000000000000e+00
86,3.6733668341708539e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5055379596906097e-01,7.2411171976233879e+02,1.4562640643018804e+05,2.9040694400357320e+06,8.4207250713203427e+02,8.5991611604628770e-01,1.2200000000000000e+00
87,3.7160804020100500e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5040631506094652e-01,7.2463034337025874e+02,1.4551884273111942e+05,2.9040485763824396e+06,8.4200930876489224e+02,8.6059659415545919e-01,1.2200000000000000e+00
88,3.7587939698492461e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5025691520723248e-01,7.2515570947497679e+02,1.4540993073724821e+05,2.9040281661311029e+06,8.4194535572631673e+02,8.6128595465606006e-01,1.2200000000000000e+00
89,3.8015075376884422e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5010465494078982e-01,7.2569099743276695e+02,1.4529900382684794e+05,2.9040083344990383e+06,8.4188029832727739e+02,8.6198833596015290e-01,1.2200000000000000e+00
90,3.8442211055276378e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.4994869066708331e-01,7.2623906394318465e+02,1.4518546517080924e+05,2.9039892029092251e+06,8.4181382239401887e+02,8.6270745932615678e-01,1.2200000000000000e+00
91,3.8869346733668340e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.4978838656297181e-01,7.2680207218550333e+02,1.4506886556232657e+05,2.9039708747008303e+06,8.4174569005931664e+02,8.6344614622771232e-01,1.2200000000000000e+00
92,3.9296482412060301e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.4962337498091752e-01,7.2738128656524623e+02,1.4494894610591480e+05,2.9039534256302142e+06,8.4167576233480099e+02,8.6420605073323853e-01,1.2200000000000000e+00
93,3.9723618090452257e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.4945355922397278e-01,7.2797706103144571e+02,1.4482564003718676e+05,2.9039369008142715e+06,8.4160400038990031e+02,8.6498764346912183e-01,1.2200000000000000e+00
94,4.0150753768844218e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.4927907031531668e-01,7.2858898244391582e+02,1.4469904194949157e+05,2.9039213174222610e+06,8.4153044977569675e+02,8.6579039729116802e-01,1.2200000000000000e+00
95,4.0577889447236180e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.4910019983279169e-01,7.2921609510458393e+02,1.4456936009448263e+05,2.9039066709322925e+06,8.4145521572177086e+02,8.6661307872349203e-01,1.2200000000000000e+00
96,4.1005025125628141e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.4891733036879665e-01,7.2985713400093971e+02,1.4443686704443788e+05,2.9038929425026709e+06,8.4137843747598481e+02,8.6745405098614947e-01,1.2200000000000000e+00
97,4.1432160804020102e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.4873087787354964e-01,7.3051071866463462e+02,1.4430185881490531e+05,2.9038801056270530e+06,8.4130026697787207e+02,8.6831152602480821e-01,1.2200000000000000e+00
98,4.1859296482412054e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.4854125151082468e-01,7.3117548848908052e+02,1.4416462642433069e+05,2.9038681311590248e+06,8.4122085397265198e+02,8.6918374055530845e-01,1.2200000000000000e+00
99,4.2286432160804015e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.4834883026455790e-01,7.3185018186278421e+02,1.4402543933816720e+05,2.9038569905605372e+06,8.4114033730638698e+02,8.7006905911374266e-01,1.2200000000000000e+00
100,4.2713567839195976e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.4815395237963417e-01,7.3253367215254605e+02,1.4388453801235292e+05,2.9038466576722073e+06,8.4105884096824968e+02,8.7096602100898612e-01,1.2200000000000000e+00
101,4.3140703517587937e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.4795691312417331e-01,7.3322497564326238e+02,1.4374213233269186e+05,2.9038371094506355e+06,8.4097647321790316e+02,8.7187335079381989e-01,1.2200000000000000e+00
102,4.3567839195979898e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.4775796713411968e-01,7.3392324398828293e+02,1.4359840329797051e+05,2.9038283260830287e+06,8.4089332741685462e+02,8.7278994856913217e-01,1.2200000000000000e+00
103,4.3994974874371859e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.4755733277440800e-01,7.3462774980398990e+02,1.4345350612815525e+05,2.9038202907829206e+06,8.4080948361396440e+02,8.7371487134804360e-01,1.2200000000000000e+00
104,4.4422110552763820e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.4735519699515796e-01,7.3533787054062452e+02,1.4330757371988441e+05,2.9038129894607281e+06,8.4072501032051241e+02,8.7464731215774016e-01,1.2200000000000000e+00
