i,x,A,P,rho,u,p,E,a,M,k
139,5.9371859296482414e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.0014730496007120e-01,3.8845154167168846e+02,3.0642540422008757e+05,2.8603123441552110e+06,8.6455640522801059e+02,4.4930734342225087e-01,1.2200000000000000e+00
140,5.9798994974874375e+00,9.9999999999999956e-01,3.5449077018110313e+00,4.9684942171496937e-01,3.9428942836988034e+02,3.0396384970878193e+05,2.8585622475891761e+06,8.6392986861019028e+02,4.5639055054801653e-01,1.2200000000000000e+00
141,6.0226130653266328e+00,9.9999999999999956e-01,3.5449077018110313e+00,4.9343451514896519e-01,4.0036079787181365e+02,3.0141853492383129e+05,2.8567727059096363e+06,8.6327692054006013e+02,4.6376867995191007e-01,1.2200000000000000e+00
142,6.0653266331658289e+00,9.9999999999999956e-01,3.5449077018110313e+00,4.8993176993171483e-01,4.0661780102638198e+02,2.9881148178242263e+05,2.8549611849655118e+06,8.6260258381167387e+02,4.7138486326996221e-01,1.2200000000000000e+00
143,6.1080402010050250e+00,9.9999999999999956e-01,3.5449077018110313e+00,4.8636326675835767e-01,4.1302410176193268e+02,2.9615935066612106e+05,2.8531409564533615e+06,8.6191066890548291e+02,4.7919594995432746e-01,1.2200000000000000e+00
144,6.1507537688442211e+00,9.9999999999999956e-01,3.5449077018110313e+00,4.8274576013137610e-01,4.1955207057085204e+02,2.9347477337035903e+05,2.8513220863027684e+06,8.6120406131552818e+02,4.8716917327348325e-01,1.2200000000000000e+00
145,6.1934673366834172e+00,9.9999999999999956e-01,3.5449077018110313e+00,4.7909211191027234e-01,4.2618057827972888e+02,2.9076739977233711e+05,2.8495119992472949e+06,8.6048491560882826e+02,4.9527954592694828e-01,1.2200000000000000e+00
146,6.2361809045226124e+00,9.9999999999999956e-01,3.5449077018110313e+00,4.7541239018137832e-01,4.3289335984749346e+02,2.8804468728683610e+05,2.8477158112444030e+06,8.5975478587315274e+02,5.0350793849650299e-01,1.2200000000000000e+00
147,6.2788944723618085e+00,9.9999999999999956e-01,3.5449077018110313e+00,4.7171467485588586e-01,4.3967782840286486e+02,2.8531248539313418e+05,2.8459366265659737e+06,8.5901472852216887e+02,5.1183968540245806e-01,1.2200000000000000e+00
148,6.3216080402010046e+00,9.9999999999999956e-01,3.5449077018110313e+00,4.6800561096220011e-01,4.4652421002666824e+02,2.8257545916244428e+05,2.8441759224373326e+06,8.5826540312970803e+02,5.2026355530398316e-01,1.2200000000000000e+00
149,6.3643216080402016e+00,9.9999999999999956e-01,3.5449077018110313e+00,4.6429075317757523e-01,4.5342489079962445e+02,2.7983738663680671e+05,2.8424340548423491e+06,8.5750718239523565e+02,5.2877095388646589e-01,1.2200000000000000e+00
150,6.4070351758793977e+00,9.9999999999999956e-01,3.5449077018110313e+00,4.6057475383271701e-01,4.6037390386032462e+02,2.7710136175958149e+05,2.8407108542897534e+06,8.5674027036404027e+02,5.3735527532131255e-01,1.2200000000000000e+00
151,6.4497487437185930e+00,9.9999999999999956e-01,3.5449077018110313e+00,4.5686145240404324e-01,4.6736652213851733e+02,2.7436993374408997e+05,2.8390062546433192e+06,8.5596482171111415e+02,5.4601136668704398e-01,1.2200000000000000e+00
152,6.4924623115577891e+00,9.9999999999999956e-01,3.5449077018110313e+00,4.5315391850190223e-01,4.7439894655660675e+02,2.7164520938761660e+05,2.8373209012058862e+06,8.5518105375725111e+02,5.5473509904403018e-01,1.2200000000000000e+00
153,6.5351758793969852e+00,9.9999999999999956e-01,3.5449077018110313e+00,4.4945448368516761e-01,4.8146808233627422e+02,2.6892893550154165e+05,2.8356566922367355e+06,8.5438934390366182e+02,5.6352304224262773e-01,1.2200000000000000e+00
154,6.5778894472361813e+00,9.9999999999999956e-01,3.5449077018110313e+00,4.4576478062487435e-01,4.8857138588598718e+02,2.6622256840700068e+05,2.8340172007992794e+06,8.5359030478000795e+02,5.7237222956966982e-01,1.2200000000000000e+00
155,6.6206030150753774e+00,9.9999999999999956e-01,3.5449077018110313e+00,4.4208580068988412e-01,4.9570675678123712e+02,2.6352733108784695e+05,2.8324078977268380e+06,8.5278482598123821e+02,5.8127999194974300e-01,1.2200000000000000e+00
156,6.6633165829145726e+00,9.9999999999999956e-01,3.5449077018110313e+00,4.3841798269440035e-01,5.0287245197438727e+02,2.6084425746703413e+05,2.8308360709971758e+06,8.5197406716350042e+02,5.9024384820610054e-01,1.2200000000000000e+00
157,6.7060301507537687e+00,9.9999999999999956e-01,3.5449077018110313e+00,4.3476134713540282e-01,5.1006701032595419e+02,2.5817422535961407e+05,2.8293103481732402e+06,8.5115938824971568e+02,5.9926145134207132e-01,1.2200000000000000e+00
158,6.7487437185929648e+00,9.9999999999999956e-01,3.5449077018110313e+00,4.3111568151643659e-01,5.1728918667709343e+02,2.5551798175760565e+05,2.8278398061460447e+06,8.5034221381368525e+02,6.0833059710997062e-01,1.2200000000000000e+00
159,6.7914572864321610e+00,9.9999999999999956e-01,3.5449077018110313e+00,4.2748076080158465e-01,5.2453789940783690e+02,2.5287616416944677e+05,2.8264327909185095e+06,8.4952385017744484e+02,6.1744929150402750e-01,1.2200000000000000e+00
160,6.8341708542713571e+00,9.9999999999999956e-01,3.5449077018110313e+00,4.2385656135689576e-01,5.3181219344521708e+02,2.5024931995894370e+05,2.8250957197385384e+06,8.4870529768406925e+02,6.2661585228278416e-01,1.2200000000000000e+00
161,6.8768844221105523e+00,9.9999999999999956e-01,3.5449077018110313e+00,4.2024341200420290e-01,5.3911121621065467e+02,2.4763792360966126e+05,2.8238322221509684e+06,8.4788711464623486e+02,6.3582899999086417e-01,1.2200000000000000e+00
162,6.9195979899497484e+00,9.9999999999999956e-01,3.5449077018110313e+00,4.1664203382115172e-01,5.4643420109253202e+02,2.4504239092172190e+05,2.8226429323978424e+06,8.4706938319584481e+02,6.4508789000368683e-01,1.2200000000000000e+00
163,6.9623115577889445e+00,9.9999999999999956e-01,3.5449077018110313e+00,4.1305345170935609e-01,5.5378045330469627e+02,2.4246308952258239e+05,2.8215260636977847e+06,8.4625179882611610e+02,6.5439205455501137e-01,1.2200000000000000e+00
164,7.0050251256281406e+00,9.9999999999999956e-01,3.5449077018110313e+00,4.0947880379283785e-01,5.6114933575063560e+02,2.3990034604645328e+05,2.8204786343446481e+06,8.4543386401474834e+02,6.6374125716455390e-01,1.2200000000000000e+00
